L_tube,D_int,D_ext,N_p,DP_t,DP_t_kPa,D_s,D_s_mm,N_tt,U_o_calc,valid
2,0.008,0.014,2,2876.11753762507,2.87611753762507,0.237332267672343,237.332267672343,23.7485639304509,6.02829825313702,1
2,0.008,0.014,4,19922.3336063894,19.9223336063894,0.237332267672343,237.332267672343,23.7485639304509,6.48162656887357,0
2,0.008,0.014,6,62410.8488621647,62.4108488621647,0.237332267672343,237.332267672343,23.7485639304509,6.66908997006987,0
2,0.008,0.014,8,140922.622058031,140.922622058031,0.237332267672343,237.332267672343,23.7485639304509,6.77421214482639,0
2,0.008,0.016,2,3377.27692262069,3.37727692262069,0.243456414698879,243.456414698879,21.6981340994776,5.84405947925398,1
2,0.008,0.016,4,23458.2896532789,23.4582896532789,0.243456414698879,243.456414698879,21.6981340994776,6.27744526641326,0
2,0.008,0.016,6,73604.49484913,73.60449484913,0.243456414698879,243.456414698879,21.6981340994776,6.45641656129745,0
2,0.008,0.016,8,166380.108029318,166.380108029318,0.243456414698879,243.456414698879,21.6981340994776,6.55671397677906,0
2,0.008,0.018,2,3914.56091993845,3.91456091993845,0.249623496825726,249.623496825726,19.9736288011139,5.681104652206,1
2,0.008,0.018,4,27258.9148267575,27.2589148267575,0.249623496825726,249.623496825726,19.9736288011139,6.09713888008823,0
2,0.008,0.018,6,85653.3538590668,85.6533538590668,0.249623496825726,249.623496825726,19.9736288011139,6.26873521154353,0
2,0.008,0.018,8,193809.481606607,193.809481606607,0.249623496825726,249.623496825726,19.9736288011139,6.36484616383894,0
2,0.008,0.02,2,4487.55730273419,4.48755730273419,0.255804966665664,255.804966665664,18.5030588918044,5.53456942141655,1
2,0.008,0.02,4,31321.744258872,31.321744258872,0.255804966665664,255.804966665664,18.5030588918044,5.9351881063677,0
2,0.008,0.02,6,98550.4095765208,98.5504095765208,0.255804966665664,255.804966665664,18.5030588918044,6.10024217666654,0
2,0.008,0.02,8,223196.004365869,223.196004365869,0.255804966665664,255.804966665664,18.5030588918044,6.19264192258803,0
2,0.01,0.014,2,1029.14602065219,1.02914602065219,0.237332267672343,237.332267672343,23.7485639304509,5.8763073207828,1
2,0.01,0.014,4,7122.37439796546,7.12237439796546,0.237332267672343,237.332267672343,23.7485639304509,6.39773341371966,0
2,0.01,0.014,6,22300.8853800382,22.3008853800382,0.237332267672343,237.332267672343,23.7485639304509,6.61721354426144,0
2,0.01,0.014,8,50337.1182702633,50.3371182702633,0.237332267672343,237.332267672343,23.7485639304509,6.74129749742286,0
2,0.01,0.016,2,1208.33360352425,1.20833360352425,0.243456414698879,243.456414698879,21.6981340994776,5.70118433415685,1
2,0.01,0.016,4,8385.53919250107,8.38553919250107,0.243456414698879,243.456414698879,21.6981340994776,6.20040212282693,0
2,0.01,0.016,6,26297.6847619368,26.2976847619368,0.243456414698879,243.456414698879,21.6981340994776,6.41021361458759,0
2,0.01,0.016,8,59423.9308467307,59.4239308467307,0.243456414698879,243.456414698879,21.6981340994776,6.52874745139602,0
2,0.01,0.018,2,1400.41621051037,1.40041621051037,0.249623496825726,249.623496825726,19.9736288011139,5.54626711788268,1
2,0.01,0.018,4,9743.10921368068,9.74310921368068,0.249623496825726,249.623496825726,19.9736288011139,6.02615439057466,0
2,0.01,0.018,6,30599.410224301,30.599410224301,0.249623496825726,249.623496825726,19.9736288011139,6.22756795984439,0
2,0.01,0.018,8,69213.6358173567,69.2136358173567,0.249623496825726,249.623496825726,19.9736288011139,6.34128586767014,0
2,0.01,0.02,2,1605.24549131701,1.60524549131701,0.255804966665664,255.804966665664,18.5030588918044,5.40694243813249,1
2,0.01,0.02,4,11194.1974162049,11.1941974162049,0.255804966665664,255.804966665664,18.5030588918044,5.86964796324307,0
2,0.01,0.02,6,35203.5367679174,35.2035367679174,0.255804966665664,255.804966665664,18.5030588918044,6.06360966049788,0
2,0.01,0.02,8,79700.9291861445,79.7009291861445,0.255804966665664,255.804966665664,18.5030588918044,6.17305752764397,0
2,0.012,0.016,2,523.942761625396,0.523942761625396,0.243456414698879,243.456414698879,21.6981340994776,5.56020665143259,1
2,0.012,0.016,4,3635.71082938811,3.63571082938811,0.243456414698879,243.456414698879,21.6981340994776,6.11585245970468,1
2,0.012,0.016,6,11401.280632259,11.401280632259,0.243456414698879,243.456414698879,21.6981340994776,6.35316974334263,0
2,0.012,0.016,8,25762.1508479738,25.7621508479738,0.243456414698879,243.456414698879,21.6981340994776,6.48825353378964,0
2,0.012,0.018,2,607.224799858054,0.607224799858054,0.249623496825726,249.623496825726,19.9736288011139,5.41217037276042,1
2,0.012,0.018,4,4224.26673539519,4.22426673539519,0.249623496825726,249.623496825726,19.9736288011139,5.94686082191229,1
2,0.012,0.018,6,13266.1441087729,13.2661441087729,0.249623496825726,249.623496825726,19.9736288011139,6.17489085646364,0
2,0.012,0.018,8,30005.9965586677,30.0059965586677,0.249623496825726,249.623496825726,19.9736288011139,6.30459825637986,0
2,0.012,0.02,2,696.03256345809,0.69603256345809,0.255804966665664,255.804966665664,18.5030588918044,5.27901211364272,1
