l_f,l_f_mm,p_f,p_f_mm,t_f,t_f_mm,DP_t,DP_t_kPa,D_s,D_s_mm,N_tt,U_o_calc,eta_f,valid
0.008,8,0.003,3,0.0005,0.5,309.347805981374,0.309347805981374,0.214864442470509,214.864442470509,12.3353725945363,4.72943562520571,0.997534674367028,1
0.008,8,0.003,3,0.0007,0.7,312.912039422428,0.312912039422428,0.214281363017976,214.281363017976,12.2565318375479,4.53421763942701,0.998328133240752,1
0.008,8,0.003,3,0.001,1,318.374494404793,0.318374494404793,0.213404226583349,213.404226583349,12.1384064449095,4.29973244704717,0.998903056949957,1
0.008,8,0.0035,3.5,0.0003,0.3,240.477075678965,0.240477075678965,0.228191541929221,228.191541929221,14.2063005487558,5.07492273547815,0.99555371972197,1
0.008,8,0.0035,3.5,0.0005,0.5,243.169597216615,0.243169597216615,0.227581216668249,227.581216668249,14.1177347786443,4.80902594197414,0.997504002891351,1
0.008,8,0.0035,3.5,0.0007,0.7,245.90875457208,0.24590875457208,0.226969233242746,226.969233242746,14.0292064528218,4.62041312509787,0.998302486844952,1
0.008,8,0.0035,3.5,0.001,1,250.106004701968,0.250106004701968,0.226048406401919,226.048406401919,13.8965261186421,4.39959831278111,0.998880363333478,1
0.008,8,0.004,4,0.0003,0.3,196.157484549219,0.196157484549219,0.239718890999067,239.718890999067,15.931072338998,5.14005529568214,0.995515118075339,1
0.008,8,0.004,4,0.0005,0.5,198.306329078861,0.198306329078861,0.239084651118746,239.084651118746,15.8336064172971,4.87664077378828,0.997477841337672,1
0.008,8,0.004,4,0.0007,0.7,200.492118929434,0.200492118929434,0.238448576490918,238.448576490918,15.7361589049364,4.69239790051988,0.998281242845711,1
0.008,8,0.004,4,0.001,1,203.840910128559,0.203840910128559,0.23749129069125,237.49129069125,15.5900683938905,4.48064694126203,0.998862298636112,1
0.01,10,0.002,2,0.0003,0.3,961.673816262054,0.961673816262054,0.180413957270631,180.413957270631,6.56981498229488,4.42622376364565,0.993828338519084,1
0.01,10,0.002,2,0.0005,0.5,972.721047234759,0.972721047234759,0.179949722334694,179.949722334694,6.52858468792417,4.16087576565923,0.996574034593875,1
0.01,10,0.002,2,0.0007,0.7,983.935725292397,0.983935725292397,0.179485349680362,179.485349680362,6.48747200244052,3.95374369142027,0.99770349523909,1
0.01,10,0.002,2,0.001,1,1001.07540314336,1.00107540314336,0.178788660474531,178.788660474531,6.42603500414337,3.67720079662321,0.99852944849733,1
0.01,10,0.0025,2.5,0.0003,0.3,660.278017694549,0.66027801769455,0.196585718496711,196.585718496711,8.08709029151335,4.5327692687174,0.993740855776353,1
0.01,10,0.0025,2.5,0.0005,0.5,667.709455374993,0.667709455374993,0.196078473569629,196.078473569629,8.03710683627476,4.27891440471637,0.996504610312203,1
0.01,10,0.0025,2.5,0.0007,0.7,675.252519419951,0.675252519419951,0.195571005450572,195.571005450572,7.98725643444192,4.08915394355913,0.997639206150176,1
0.01,10,0.0025,2.5,0.001,1,686.778835735973,0.686778835735973,0.194809525025948,194.809525025948,7.91274444488572,3.85163526526227,0.998463902253167,1
0.01,10,0.003,3,0.0003,0.3,488.565641739886,0.488565641739886,0.210874997444488,210.874997444488,9.55880485606085,4.61500524190254,0.993674217488497,1
0.01,10,0.003,3,0.0005,0.5,493.959513016136,0.493959513016136,0.210331767546709,210.331767546709,9.50060687238209,4.36756967436575,0.996454379507552,1
0.01,10,0.003,3,0.0007,0.7,499.433743976649,0.499433743976649,0.209788223063867,209.788223063867,9.4425530487509,4.18761827645604,0.997594741420095,1
0.01,10,0.003,3,0.001,1,507.797479019289,0.507797479019289,0.208972467000574,208.972467000574,9.35575926576789,3.97082281666829,0.998421614879282,1
0.01,10,0.0035,3.5,0.0003,0.3,380.531001462489,0.380531001462489,0.223722330711813,223.722330711813,10.9869804678893,4.68224586642688,0.993619464344728,1
0.01,10,0.0035,3.5,0.0005,0.5,384.655645511441,0.384655645511441,0.223148507171883,223.148507171883,10.921070700848,4.43865342341162,0.996414781182622,1
0.01,10,0.0035,3.5,0.0007,0.7,388.84127818151,0.38884127818151,0.222574273851779,222.574273851779,10.85531236679,4.2648479111213,0.997560888890629,1
0.01,10,0.0035,3.5,0.001,1,395.235361947469,0.395235361947469,0.221712314769368,221.712314769368,10.7569778572255,4.06074981942823,0.998390944867972,1
0.01,10,0.004,4,0.0003,0.3,307.646071823879,0.307646071823879,0.235417673799305,235.417673799305,12.3735210379398,4.73946282619523,0.993572151315018,1
0.01,10,0.004,4,0.0005,0.5,310.922316544003,0.310922316544003,0.234817554859599,234.817554859599,12.3003691222219,4.49824148346141,0.996381709906449,1
0.01,10,0.004,4,0.0007,0.7,314.246665768289,0.314246665768289,0.234216928670636,234.216928670636,12.2273725276716,4.32853697592558,0.997533410959408,1
0.01,10,0.004,4,0.001,1,319.324381423003,0.319324381423003,0.233315205006571,233.315205006571,12.1181902076708,4.13290103102023,0.998366977164728,1
0.012,12,0.002,2,0.0003,0.3,1468.30171948643,1.46830171948643,0.177344368958113,177.344368958113,5.20628292137541,4.14148459326168,0.991684992834723,1
0.012,12,0.002,2,0.0005,0.5,1484.37590703008,1.48437590703008,0.176913387287762,176.913387287762,5.17530391127779,3.89589777357797,0.99537938335114,1
0.012,12,0.002,2,0.0007,0.7,1500.66416731849,1.50066416731849,0.176482749675241,176.482749675241,5.14444196405857,3.70290340573263,0.996901547096523,1
0.012,12,0.002,2,0.001,1,1525.50224426159,1.52550224426159,0.175837517898114,175.837517898114,5.09837371800204,3.44439385861272,0.998015559257949,1
0.012,12,0.0025,2.5,0.0003,0.3,1000.23923308682,1.00023923308682,0.193434520403831,193.434520403831,6.42899399608101,4.24206026400925,0.991574181808838,1
0.012,12,0.0025,2.5,0.0005,0.5,1011.00197214859,1.01100197214859,0.192961374409259,192.961374409259,6.39120030151589,4.00707004390207,0.995289643674031,1
0.012,12,0.0025,2.5,0.0007,0.7,1021.90682175102,1.02190682175102,0.192488555090568,192.488555090568,6.35354400097704,3.83019897151415,0.996817415211402,1
0.012,12,0.0025,2.5,0.001,1,1038.5333644767,1.0385333644767,0.191780026552445,191.780026552445,6.29732362052923,3.60804663319552,0.997928787226622,1
0.012,12,0.003,3,0.0003,0.3,734.76665720367,0.73476665720367,0.207718634177412,207.718634177412,7.62242716850151,4.31873660261133,0.991491769645444,1
0.012,12,0.003,3,0.0005,0.5,742.545840184092,0.742545840184092,0.207209582053656,207.209582053656,7.57815108508264,4.08970104251447,0.99522599943454,1
0.012,12,0.003,3,0.0007,0.7,750.426945341415,0.750426945341415,0.206700827782465,206.700827782465,7.53402976214882,3.92196607090035,0.996760194194371,1
0.012,12,0.003,3,0.001,1,762.441695267264,0.762441695267264,0.205938350041855,205.938350041855,7.46814566610563,3.71916363404316,0.997873534660716,1
0.012,12,0.0035,3.5,0.0003,0.3,568.41608535379,0.56841608535379,0.22062013779141,220.62013779141,8.7876215894968,4.3806791480683,0.991425522747741,1
0.012,12,0.0035,3.5,0.0005,0.5,574.342060109588,0.574342060109588,0.220079999513734,220.079999513734,8.73717772141065,4.15524073636503,0.99517679990486,1
0.012,12,0.0035,3.5,0.0007,0.7,580.345124118667,0.580345124118667,0.219540121721928,219.540121721928,8.68690327458113,3.99325640682192,0.996717374530434,1
0.012,12,0.0035,3.5,0.001,1,589.495746823563,0.589495746823563,0.218730895028426,218.730895028426,8.61181821497301,3.80234453601504,0.997834026909021,1
0.012,12,0.004,4,0.0003,0.3,456.604426111265,0.456604426111265,0.232417135747603,232.417135747603,9.92556780860852,4.43278917415003,0.99136936123294,1
0.012,12,0.004,4,0.0005,0.5,461.294858262396,0.461294858262396,0.231849772889301,231.849772889301,9.86925416709594,4.20960028827143,0.995136450105179,1
0.012,12,0.004,4,0.0007,0.7,466.045902114409,0.466045902114409,0.23128262664151,231.28262664151,9.81312213870191,4.05147598873145,0.996683194853887,1
0.012,12,0.004,4,0.001,1,473.287267764734,0.473287267764734,0.230432420668404,230.432420668404,9.72927477418155,3.86851733065601,0.997803597184556,1
